"Path 1","Path 2","Path 3","Path 4","Path 5","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https/","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","mos2es.com/","","","","23","https://mos2es.com/","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Sovereign Signal Governance","36","366","MO§ES is the protocol layer for preserving semantic meaning at point of execution: commitment conservation, governance enforcement, and lineage-bound artifacts.","160","1018","","0","","0","The headline is not 80–85%. The headline is 41%.","48","Enough proof for the front door. Full documentation lives one click away.","73","","","","","","","","","","39884","9577","9577","1.419","","942","206","4.573","53.650","Fairly Hard","17.808","0","0","","12","7","0","43.750","24","9","0","13","6","0","","","","","3e6534fd4127bd4dd317304a528c6b53","0.352","","","","","en","1.1","","","","","","https://mos2es.com/","2026-07-10 04:11:41"
"","","field-sheet","","","1","https://mos2es.com/field-sheet","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","MO§ES™ Field Sheet — May 5, 2026","32","316","MO§ES field sheet: topics, proofs, SIGRANK applications, patent portfolio, and live evidence links for May 5, 2026.","115","696","","0","MO§ES™","6","Commitment Theory: The Conservation Law of Commitment","53","This is not a collection of ideas.","34","","","","https://mos2es.com/","","","","","","38120","10605","10605","1.572","","1613","380","4.245","55.617","Fairly Hard","30.612","1","0","","18","6","0","37.500","12","2","0","14","6","0","","","","","deccf84b6d7a566faba9e1b58772449d","0.222","","","","","en","1.1","","","","","","https://mos2es.com/field-sheet","2026-07-10 04:11:42"
"","","benchmarks","","","1","https://mos2es.com/benchmarks","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Five Measured Kernels · Sovereign Signal Benchmarks","60","589","MO§ES leads all 5 measured economic categories vs. the Artificial Analysis Coding Agent Index field average: cache hit rate 94.66%, output:input 17.9×, tokens per task 810K, time per task 1.84 min, cost per LOC $0.0007. Operator-augmented Claude Code + Opus 4.7 vs. 13 published combinations. Raw JSONL · 98 sessions · all subagents.","333","2089","","0","Five measured kernels. One operator.","36","","0","","0","","","","","","","","","","16804","4865","4865","0.721","","407","91","4.473","86.516","Easy","16.177","1","0","","7","6","0","37.500","17","16","0","2","2","0","","","","","384bb9025ccc750df4fc019d893f1c56","0.453","","","","","en","1.1","","","","","","https://mos2es.com/benchmarks","2026-07-10 04:11:42"
"","","demovideo","","","1","https://mos2es.com/demovideo","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Demo Video","19","214","MO§ES product demo video — a walkthrough of governed execution and the SigRank application workflow.","100","661","","0","Demo","4","","0","","0","","","","","","","","","","7778","3033","3033","0.449","","50","10","5.000","76.552","Fairly Easy","5.039","1","0","","5","4","0","25.000","5","5","0","2","2","0","","","","","eca33699eb4a0a4de198e772122273e3","0.320","","","","","en","1.1","","","","","","https://mos2es.com/demovideo","2026-07-10 04:11:42"
"","","press","","","1","https://mos2es.com/press","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Press","14","156","MO§ES press kit, boilerplate, fact sheet, public record, and quotable lines.","76","450","","0","Press","5","One Line","8","One Paragraph","13","","","","","","","","","","6057","2552","2552","0.378","","159","32","4.969","54.407","Fairly Hard","20.509","1","0","","6","5","0","31.250","8","8","0","1","1","0","","","","","cb96a8fba82816b8887ec402736ef868","0.368","","","","","en","1.1","","","","","","https://mos2es.com/press","2026-07-10 04:11:42"
"","","legal","","","1","https://mos2es.com/legal","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Legal & IP","19","194","MO§ES patent portfolio, trademark record, IC 042 summary, and licensing surfaces.","81","517","","0","Legal & IP","10","Compression Gating","18","Lineage Tracking","16","","","","","","","","","","6592","2808","2808","0.416","","224","38","5.895","48.270","Hard","27.056","1","0","","7","4","0","25.000","8","8","0","1","1","0","","","","","b0e6bd4e9c8eb0a9cd00dec29e3ef099","0.259","","","","","en","1.1","","","","","","https://mos2es.com/legal","2026-07-10 04:11:42"
"","","papers","","","1","https://mos2es.com/papers","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Papers & Proofs","24","249","MO§ES papers, proofs, live links, strategic ranking, and SIGRANK applications.","78","483","","0","Papers & Proofs","15","Zenodo DOI","10","KASSA Demo","10","","","","","","","","","","10614","3648","3648","0.541","","220","41","5.366","60.260","Normal","15.045","1","0","","9","6","0","37.500","8","8","0","4","4","0","","","","","6bd4fcaa9979193c8a8fac0c7627a799","0.315","","","","","en","1.1","","","","","","https://mos2es.com/papers","2026-07-10 04:11:42"
"","","governance-vacuum","","","1","https://mos2es.com/governance-vacuum","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — The Governance Vacuum","30","330","Why AI deployments keep failing and what's missing. Four articles diagnose the same structural failure. MO§ES supplies the constitutional substrate.","148","918","","0","The Governance Vacuum","21","Four Articles Exposing the Same Vacuum","38","The Three-Plane Architecture That Still Doesn’t Exist","53","","","","","","","","","","21659","6742","6742","0.999","","1222","228","5.360","44.310","Hard","40.509","1","0","","5","5","0","31.250","8","5","0","7","6","0","","","","","7d5a9542ac6bd12083ce13ed9124934e","0.270","","","","","en","1.1","","","","","","https://mos2es.com/governance-vacuum","2026-07-10 04:11:42"
"","","deck","","","1","https://mos2es.com/deck","text/html; charset=UTF-8","200","OK","Indexable","","Ello Cello — Pitch","18","154","","0","0","","0","","0","The Execution Gap","17","Orchestration ≠ Governance.","27","","","","","","","","","","63563","14232","14232","2.109","","1237","289","4.280","58.800","Fairly Hard","13.240","1","0","","9","7","0","43.750","0","0","0","0","0","0","","","","","382d9343554b8e49926cab45be79384b","0.216","","","","","en","1.1","","","","","","https://mos2es.com/deck","2026-07-10 04:11:43"
