"Path 1","Path 2","Path 3","Path 4","Path 5","URLs","Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https/","","","","","16","","","","","","",""
"","mos2es.com/","","","","16","https://mos2es.com/","1","MO§ES is the protocol layer for preserving semantic meaning at point of execution: commitment conservation, governance enforcement, and lineage-bound artifacts.","160","1018","Indexable",""
"","","field-sheet","","","1","https://mos2es.com/field-sheet","1","MO§ES field sheet: topics, proofs, SIGRANK applications, patent portfolio, and live evidence links for May 5, 2026.","115","696","Non-Indexable","Canonicalised"
"","","benchmarks","","","1","https://mos2es.com/benchmarks","1","MO§ES leads all 5 measured economic categories vs. the Artificial Analysis Coding Agent Index field average: cache hit rate 94.66%, output:input 17.9×, tokens per task 810K, time per task 1.84 min, cost per LOC $0.0007. Operator-augmented Claude Code + Opus 4.7 vs. 13 published combinations. Raw JSONL · 98 sessions · all subagents.","333","2089","Indexable",""
"","","demovideo","","","1","https://mos2es.com/demovideo","1","MO§ES product demo video — a walkthrough of governed execution and the SigRank application workflow.","100","661","Indexable",""
"","","press","","","1","https://mos2es.com/press","1","MO§ES press kit, boilerplate, fact sheet, public record, and quotable lines.","76","450","Indexable",""
"","","legal","","","1","https://mos2es.com/legal","1","MO§ES patent portfolio, trademark record, IC 042 summary, and licensing surfaces.","81","517","Indexable",""
"","","papers","","","1","https://mos2es.com/papers","1","MO§ES papers, proofs, live links, strategic ranking, and SIGRANK applications.","78","483","Indexable",""
"","","governance-vacuum","","","1","https://mos2es.com/governance-vacuum","1","Why AI deployments keep failing and what's missing. Four articles diagnose the same structural failure. MO§ES supplies the constitutional substrate.","148","918","Indexable",""
"","","deck","","","1","https://mos2es.com/deck","0","","0","0","Indexable",""
"","","img/","","","6","","","","","","",""
"","","","benchmarks/","","6","","","","","","",""
"","","","","poster_honest","1","https://mos2es.com/img/benchmarks/poster_honest","0","","0","0","Indexable",""
"","","","","poster_honest_portrait","1","https://mos2es.com/img/benchmarks/poster_honest_portrait","0","","0","0","Indexable",""
"","","","","poster","1","https://mos2es.com/img/benchmarks/poster","0","","0","0","Indexable",""
"","","","","poster_honest.html","1","https://mos2es.com/img/benchmarks/poster_honest.html","0","","0","0","Indexable",""
"","","","","poster_honest_portrait.html","1","https://mos2es.com/img/benchmarks/poster_honest_portrait.html","0","","0","0","Indexable",""
"","","","","poster.html","1","https://mos2es.com/img/benchmarks/poster.html","0","","0","0","Indexable",""
"","","architecture","","","1","https://mos2es.com/architecture","0","","0","0","Indexable",""
