"Path 1","Path 2","Path 3","Path 4","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https/","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","mos2es.com/","","","13","https://mos2es.com/","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Sovereign Signal Governance","36","366","MO§ES is the protocol layer for preserving semantic meaning at execution: commitment conservation, governance enforcement, and lineage-bound artifacts.","151","967","","0","MO§ES™","6","The headline is not 80–85%. The headline is 41%.","48","Enough proof for the front door. Full documentation lives one click away.","73","","","","https://mos2es.com/","","","","","","40960","9727","9727","1.442","","942","206","4.573","53.650","Fairly Hard","17.361","0","0","","13","8","0","80.000","25","10","0","13","6","0","","","","","e5a7f89cd787668d7ea161d051e37e31","0.191","","","","","en","1.1","","","","","","https://mos2es.com/","2026-07-10 05:17:34"
"","","field-sheet","","1","https://mos2es.com/field-sheet","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ Field Sheet — May 5, 2026","32","316","MO§ES field sheet: topics, proofs, SIGRANK applications, patent portfolio, and live evidence links for May 5, 2026.","115","696","","0","MO§ES™","6","Commitment Theory: The Conservation Law of Commitment","53","This is not a collection of ideas.","34","","","","https://mos2es.com/field-sheet","","","","","","39576","10833","10833","1.605","","1617","382","4.233","55.626","Fairly Hard","29.572","1","0","","19","7","0","70.000","12","2","0","12","5","0","","","","","d2c01b821a7ad38df2935aa912d0d9af","0.203","","","","","en","1.1","","","","","","https://mos2es.com/field-sheet","2026-07-10 05:17:34"
"","","resume","","1","https://mos2es.com/resume","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Deric J. McHenry, Resume","33","338","Deric J. McHenry — founder of MO§ES, AI governance researcher, commitment conservation theorist, and inventor of the governance enforcement layer.","146","939","","0","Deric J. McHenry","16","","0","","0","","","","https://mos2es.com/resume","","","","","","16208","4965","4965","0.736","","664","151","4.397","48.588","Hard","30.543","1","0","","1","1","0","10.000","0","0","0","0","0","0","","","","","b275eff1bfecb51bea85bfaa35bb3c11","0.528","","","","","en","1.1","","","","","","https://mos2es.com/resume","2026-07-10 05:17:34"
"","","demovideo","","1","https://mos2es.com/demovideo","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Demo Video & Walkthrough","33","349","MO§ES product demo video — a walkthrough of governed execution and the SigRank application workflow.","100","661","","0","Demo","4","What the demo shows","19","The SigRank application workflow","32","","","","https://mos2es.com/demovideo","","","","","","11984","4269","4269","0.633","","282","46","6.130","52.713","Fairly Hard","16.601","1","0","","5","4","0","40.000","5","5","0","2","2","0","","","","","16d71b45cdda33c8e94df5cf6e71dacd","0.222","","","","","en","1.1","","","","","","https://mos2es.com/demovideo","2026-07-10 05:17:35"
"","","press","","1","https://mos2es.com/press","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Press Kit & Media Resources","36","361","MO§ES press kit, boilerplate, fact sheet, public record, and quotable lines.","76","450","","0","Press","5","One Line","8","One Paragraph","13","","","","https://mos2es.com/press","","","","","","7920","2947","2947","0.437","","159","32","4.969","54.407","Fairly Hard","15.690","1","0","","7","6","0","60.000","8","8","0","1","1","0","","","","","ee99e01dc9cb30a105814737a7c3819","0.597","","","","","en","1.1","","","","","","https://mos2es.com/press","2026-07-10 05:17:35"
"","","legal","","1","https://mos2es.com/legal","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Legal, Patent & IP Portfolio","37","345","MO§ES patent portfolio, trademark record, IC 042 summary, and licensing surfaces.","81","517","","0","Legal & IP","10","Compression Gating","18","Lineage Tracking","16","","","","https://mos2es.com/legal","","","","","","8474","3191","3191","0.473","","224","38","5.895","48.270","Hard","21.057","1","0","","8","5","0","50.000","8","8","0","1","1","0","","","","","67346442b59dc8ee759a7c7af7a528a7","2.874","","","","","en","1.1","","","","","","https://mos2es.com/legal","2026-07-10 05:17:35"
"","","papers","","1","https://mos2es.com/papers","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Papers & Proofs","24","249","MO§ES papers, proofs, live links, strategic ranking, and SIGRANK applications.","78","483","","0","Papers & Proofs","15","Zenodo DOI","10","KASSA Demo","10","","","","https://mos2es.com/papers","","","","","","11473","3771","3771","0.559","","220","41","5.366","60.260","Normal","13.929","1","0","","10","7","0","70.000","8","8","0","4","4","0","","","","","df26289266945fa5b14e7da9759494d7","3.800","","","","","en","1.1","","","","","","https://mos2es.com/papers","2026-07-10 05:17:35"
"","","deck","","1","https://mos2es.com/deck","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — Pitch Deck","19","200","MO§ES pitch deck — the investor presentation for sovereign signal governance and the Conservation Law of Commitment.","116","755","","0","MO§ES™ — Pitch Deck","19","The Execution Gap","17","Orchestration ≠ Governance.","27","","","","https://mos2es.com/deck","","","","","","66449","14885","14885","2.206","","1241","290","4.279","58.992","Fairly Hard","12.787","1","0","","8","6","0","60.000","7","7","0","0","0","0","","","","","2bd679e502dceae0f47bba6becca0748","0.497","","","","","en","1.1","","","","","","https://mos2es.com/deck","2026-07-10 05:17:39"
"","","governance-vacuum","","1","https://mos2es.com/governance-vacuum","text/html; charset=UTF-8","200","OK","Indexable","","MO§ES™ — The Governance Vacuum","30","330","Why AI deployments keep failing and what's missing. Four articles diagnose the same structural failure. MO§ES supplies the constitutional substrate.","148","918","","0","The Governance Vacuum","21","Four Articles Exposing the Same Vacuum","38","The Three-Plane Architecture That Still Doesn’t Exist","53","","","","https://mos2es.com/governance-vacuum","","","","","","23950","7177","7177","1.064","","1222","228","5.360","44.310","Hard","36.649","1","0","","6","6","0","60.000","8","5","0","7","6","0","","","","","2fa5d19cc5d0ec638c092e124e8a070c","4.137","","","","","en","1.1","","","","","","https://mos2es.com/governance-vacuum","2026-07-10 05:17:35"
